Case ID,Complete Timestamp,Activity,Case ID_2,Complete Timestamp_2,Activity_2,Connection
Case 1135,2012-06-14 07:56:56,Require upgrade,Case 1135,2012-07-13 13:19:37,Resolve ticket,Require upgrade --> Resolve ticket
Case 1135,2012-07-13 13:19:37,Resolve ticket,Case 1135,2012-07-28 13:19:53,Closed,Resolve ticket --> Closed
Case 1136,2012-06-12 08:23:44,Assign seriousness,Case 1136,2012-06-15 06:56:23,Resolve ticket,Assign seriousness --> Resolve ticket
Case 1136,2012-06-15 06:56:23,Resolve ticket,Case 1136,2012-07-26 08:30:38,Closed,Resolve ticket --> Closed
Case 1137,2012-06-18 10:44:18,Assign seriousness,Case 1137,2012-06-18 14:46:31,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 1137,2012-06-18 14:46:31,Take in charge ticket,Case 1137,2012-06-18 14:46:46,Resolve ticket,Take in charge ticket --> Resolve ticket
Case 1137,2012-06-18 14:46:46,Resolve ticket,Case 1137,2012-08-03 10:50:34,Closed,Resolve ticket --> Closed
Case 1138,2012-01-09 16:23:38,Assign seriousness,Case 1138,2012-01-09 16:23:57,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 1138,2012-01-09 16:23:57,Take in charge ticket,Case 1138,2012-01-17 11:49:33,Resolve ticket,Take in charge ticket --> Resolve ticket
Case 1138,2012-01-17 11:49:33,Resolve ticket,Case 1138,2012-03-08 16:30:40,Closed,Resolve ticket --> Closed
Case 1139,2011-12-13 15:51:46,Assign seriousness,Case 1139,2011-12-13 15:52:10,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 1139,2011-12-13 15:52:10,Take in charge ticket,Case 1139,2011-12-13 16:57:49,Resolve ticket,Take in charge ticket --> Resolve ticket
Case 1139,2011-12-13 16:57:49,Resolve ticket,Case 1139,2012-01-13 16:00:22,Closed,Resolve ticket --> Closed
Case 114,2013-09-11 12:51:59,Assign seriousness,Case 114,2013-09-11 12:52:24,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 114,2013-09-11 12:52:24,Take in charge ticket,Case 114,2013-09-25 12:28:56,Wait,Take in charge ticket --> Wait
Case 114,2013-09-25 12:28:56,Wait,Case 114,2013-10-01 12:14:10,Take in charge ticket,Wait --> Take in charge ticket
Case 114,2013-10-01 12:14:10,Take in charge ticket,Case 114,2013-10-07 07:20:45,Wait,Take in charge ticket --> Wait
Case 114,2013-10-07 07:20:45,Wait,Case 114,2013-10-07 10:35:46,Resolve ticket,Wait --> Resolve ticket
Case 114,2013-10-07 10:35:46,Resolve ticket,Case 114,2013-10-22 10:36:06,Closed,Resolve ticket --> Closed
Case 1140,2011-01-19 09:17:21,Assign seriousness,Case 1140,2011-01-25 10:28:10,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 1140,2011-01-25 10:28:10,Take in charge ticket,Case 1140,2011-01-25 16:33:05,Wait,Take in charge ticket --> Wait
Case 1140,2011-01-25 16:33:05,Wait,Case 1140,2011-02-09 11:37:25,Take in charge ticket,Wait --> Take in charge ticket
Case 1140,2011-02-09 11:37:25,Take in charge ticket,Case 1140,2011-02-09 11:37:34,Resolve ticket,Take in charge ticket --> Resolve ticket
Case 1140,2011-02-09 11:37:34,Resolve ticket,Case 1140,2011-03-05 14:20:39,Closed,Resolve ticket --> Closed
Case 1141,2010-08-11 12:41:35,Assign seriousness,Case 1141,2010-08-30 15:03:37,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 1141,2010-08-30 15:03:37,Take in charge ticket,Case 1141,2010-08-30 15:04:04,Wait,Take in charge ticket --> Wait
Case 1141,2010-08-30 15:04:04,Wait,Case 1141,2010-09-13 08:50:59,Take in charge ticket,Wait --> Take in charge ticket
Case 1141,2010-09-13 08:50:59,Take in charge ticket,Case 1141,2010-09-13 08:51:37,Wait,Take in charge ticket --> Wait
Case 1141,2010-09-13 08:51:37,Wait,Case 1141,2010-09-13 10:33:01,Take in charge ticket,Wait --> Take in charge ticket
Case 1141,2010-09-13 10:33:01,Take in charge ticket,Case 1141,2010-09-13 10:33:06,Wait,Take in charge ticket --> Wait
Case 1141,2010-09-13 10:33:06,Wait,Case 1141,2010-09-13 10:33:18,Take in charge ticket,Wait --> Take in charge ticket
Case 1141,2010-09-13 10:33:18,Take in charge ticket,Case 1141,2010-09-13 10:33:27,Wait,Take in charge ticket --> Wait
Case 1141,2010-09-13 10:33:27,Wait,Case 1141,2010-09-20 09:04:20,Take in charge ticket,Wait --> Take in charge ticket
Case 1141,2010-09-20 09:04:20,Take in charge ticket,Case 1141,2010-09-20 09:04:28,Resolve ticket,Take in charge ticket --> Resolve ticket
Case 1141,2010-09-20 09:04:28,Resolve ticket,Case 1141,2010-10-05 09:04:36,Closed,Resolve ticket --> Closed
Case 1142,2013-03-05 16:34:50,Assign seriousness,Case 1142,2013-03-22 09:23:52,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 1142,2013-03-22 09:23:52,Take in charge ticket,Case 1142,2013-03-25 09:47:35,Wait,Take in charge ticket --> Wait
Case 1142,2013-03-25 09:47:35,Wait,Case 1142,2013-03-25 09:47:53,Require upgrade,Wait --> Require upgrade
Case 1142,2013-03-25 09:47:53,Require upgrade,Case 1142,2013-04-16 07:20:48,Wait,Require upgrade --> Wait
Case 1142,2013-04-16 07:20:48,Wait,Case 1142,2013-04-18 07:23:12,Resolve ticket,Wait --> Resolve ticket
Case 1142,2013-04-18 07:23:12,Resolve ticket,Case 1142,2013-05-03 07:23:28,Closed,Resolve ticket --> Closed
Case 1143,2012-07-23 11:01:18,Assign seriousness,Case 1143,2012-07-23 15:01:05,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 1143,2012-07-23 15:01:05,Take in charge ticket,Case 1143,2012-07-25 08:28:00,Resolve ticket,Take in charge ticket --> Resolve ticket
Case 1143,2012-07-25 08:28:00,Resolve ticket,Case 1143,2012-09-14 11:00:39,Closed,Resolve ticket --> Closed
Case 1144,2013-02-14 11:50:14,Assign seriousness,Case 1144,2013-02-15 10:53:03,Resolve ticket,Assign seriousness --> Resolve ticket
Case 1144,2013-02-15 10:53:03,Resolve ticket,Case 1144,2013-02-21 08:06:25,Take in charge ticket,Resolve ticket --> Take in charge ticket
Case 1144,2013-02-21 08:06:25,Take in charge ticket,Case 1144,2013-03-07 14:05:52,Require upgrade,Take in charge ticket --> Require upgrade
Case 1144,2013-03-07 14:05:52,Require upgrade,Case 1144,2013-03-07 16:50:42,Resolve ticket,Require upgrade --> Resolve ticket
Case 1144,2013-03-07 16:50:42,Resolve ticket,Case 1144,2013-03-22 16:50:54,Closed,Resolve ticket --> Closed
Case 1145,2012-10-16 08:57:53,Assign seriousness,Case 1145,2012-11-08 08:16:41,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 1145,2012-11-08 08:16:41,Take in charge ticket,Case 1145,2012-11-08 08:28:57,Wait,Take in charge ticket --> Wait
Case 1145,2012-11-08 08:28:57,Wait,Case 1145,2012-11-08 13:34:25,Resolve ticket,Wait --> Resolve ticket
Case 1145,2012-11-08 13:34:25,Resolve ticket,Case 1145,2012-11-23 13:34:43,Closed,Resolve ticket --> Closed
Case 1146,2011-04-04 10:13:39,Assign seriousness,Case 1146,2011-04-04 10:14:04,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 1146,2011-04-04 10:14:04,Take in charge ticket,Case 1146,2011-04-04 10:16:27,Resolve ticket,Take in charge ticket --> Resolve ticket
Case 1146,2011-04-04 10:16:27,Resolve ticket,Case 1146,2011-05-05 10:20:21,Closed,Resolve ticket --> Closed
Case 1147,2011-01-11 11:54:55,Assign seriousness,Case 1147,2011-01-14 08:33:59,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 1147,2011-01-14 08:33:59,Take in charge ticket,Case 1147,2011-01-14 08:52:06,Resolve ticket,Take in charge ticket --> Resolve ticket
Case 1147,2011-01-14 08:52:06,Resolve ticket,Case 1147,2011-03-11 12:00:54,Closed,Resolve ticket --> Closed
Case 1148,2010-12-14 11:04:53,Assign seriousness,Case 1148,2010-12-14 11:05:16,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 1148,2010-12-14 11:05:16,Take in charge ticket,Case 1148,2010-12-14 11:05:33,Resolve ticket,Take in charge ticket --> Resolve ticket
Case 1148,2010-12-14 11:05:33,Resolve ticket,Case 1148,2011-01-27 11:10:35,Closed,Resolve ticket --> Closed
Case 1149,2011-10-25 07:25:02,Assign seriousness,Case 1149,2011-10-25 07:26:54,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 1149,2011-10-25 07:26:54,Take in charge ticket,Case 1149,2011-10-25 09:50:54,Resolve ticket,Take in charge ticket --> Resolve ticket
Case 1149,2011-10-25 09:50:54,Resolve ticket,Case 1149,2011-12-08 08:31:06,Closed,Resolve ticket --> Closed
Case 115,2013-02-14 11:54:22,Assign seriousness,Case 115,2013-03-04 09:19:59,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 115,2013-03-04 09:19:59,Take in charge ticket,Case 115,2013-03-04 09:20:40,Wait,Take in charge ticket --> Wait
Case 115,2013-03-04 09:20:40,Wait,Case 115,2013-03-04 09:20:40,Wait,Wait --> Wait
Case 115,2013-03-04 09:20:40,Wait,Case 115,2013-03-21 13:52:57,Resolve ticket,Wait --> Resolve ticket
Case 115,2013-03-21 13:52:57,Resolve ticket,Case 115,2013-04-05 12:53:14,Closed,Resolve ticket --> Closed
Case 1150,2010-10-11 08:44:04,Assign seriousness,Case 1150,2010-10-11 15:25:04,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 1150,2010-10-11 15:25:04,Take in charge ticket,Case 1150,2010-10-11 15:25:54,Resolve ticket,Take in charge ticket --> Resolve ticket
Case 1150,2010-10-11 15:25:54,Resolve ticket,Case 1150,2010-11-11 09:50:24,Closed,Resolve ticket --> Closed
Case 1151,2010-05-24 16:34:26,Assign seriousness,Case 1151,2010-06-29 16:11:34,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 1151,2010-06-29 16:11:34,Take in charge ticket,Case 1151,2010-06-29 16:18:05,Resolve ticket,Take in charge ticket --> Resolve ticket
Case 1151,2010-06-29 16:18:05,Resolve ticket,Case 1151,2010-07-14 16:18:25,Closed,Resolve ticket --> Closed
Case 1152,2010-10-05 08:03:32,Assign seriousness,Case 1152,2010-10-06 08:51:51,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 1152,2010-10-06 08:51:51,Take in charge ticket,Case 1152,2010-10-06 08:59:12,Resolve ticket,Take in charge ticket --> Resolve ticket
Case 1152,2010-10-06 08:59:12,Resolve ticket,Case 1152,2010-11-05 09:11:01,Closed,Resolve ticket --> Closed
Case 1153,2012-01-10 15:57:01,Assign seriousness,Case 1153,2012-01-16 08:53:10,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 1153,2012-01-16 08:53:10,Take in charge ticket,Case 1153,2012-01-27 15:32:26,Wait,Take in charge ticket --> Wait
Case 1153,2012-01-27 15:32:26,Wait,Case 1153,2012-01-31 17:04:22,Resolve ticket,Wait --> Resolve ticket
Case 1153,2012-01-31 17:04:22,Resolve ticket,Case 1153,2012-03-01 17:04:42,Closed,Resolve ticket --> Closed
Case 1154,2012-05-21 07:18:26,Assign seriousness,Case 1154,2012-05-21 07:19:22,Wait,Assign seriousness --> Wait
Case 1154,2012-05-21 07:19:22,Wait,Case 1154,2012-05-21 07:26:51,Take in charge ticket,Wait --> Take in charge ticket
Case 1154,2012-05-21 07:26:51,Take in charge ticket,Case 1154,2012-05-21 08:22:00,Resolve ticket,Take in charge ticket --> Resolve ticket
Case 1154,2012-05-21 08:22:00,Resolve ticket,Case 1154,2012-05-21 08:22:01,Resolve ticket,Resolve ticket --> Resolve ticket
Case 1154,2012-05-21 08:22:01,Resolve ticket,Case 1154,2012-06-21 07:30:37,Closed,Resolve ticket --> Closed
Case 1155,2010-09-16 12:40:30,Assign seriousness,Case 1155,2010-09-22 13:06:53,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 1155,2010-09-22 13:06:53,Take in charge ticket,Case 1155,2010-09-23 08:55:05,Wait,Take in charge ticket --> Wait
Case 1155,2010-09-23 08:55:05,Wait,Case 1155,2010-09-30 13:01:01,Take in charge ticket,Wait --> Take in charge ticket
Case 1155,2010-09-30 13:01:01,Take in charge ticket,Case 1155,2010-09-30 13:01:10,Resolve ticket,Take in charge ticket --> Resolve ticket
Case 1155,2010-09-30 13:01:10,Resolve ticket,Case 1155,2010-11-14 14:01:36,Closed,Resolve ticket --> Closed
Case 1156,2013-11-04 14:54:01,Assign seriousness,Case 1156,2013-11-20 08:38:45,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 1156,2013-11-20 08:38:45,Take in charge ticket,Case 1156,2013-11-20 09:10:39,Wait,Take in charge ticket --> Wait
Case 1156,2013-11-20 09:10:39,Wait,Case 1156,2013-12-19 10:02:24,Resolve ticket,Wait --> Resolve ticket
Case 1156,2013-12-19 10:02:24,Resolve ticket,Case 1156,2014-01-03 10:02:38,Closed,Resolve ticket --> Closed
Case 1157,2011-09-14 15:45:59,Assign seriousness,Case 1157,2011-09-26 15:57:04,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 1157,2011-09-26 15:57:04,Take in charge ticket,Case 1157,2011-09-28 07:56:30,Resolve ticket,Take in charge ticket --> Resolve ticket
Case 1157,2011-09-28 07:56:30,Resolve ticket,Case 1157,2011-10-28 15:51:18,Closed,Resolve ticket --> Closed
Case 1158,2011-06-23 07:35:48,Assign seriousness,Case 1158,2011-06-23 07:36:08,Assign seriousness,Assign seriousness --> Assign seriousness
Case 1158,2011-06-23 07:36:08,Assign seriousness,Case 1158,2011-06-23 09:52:00,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 1158,2011-06-23 09:52:00,Take in charge ticket,Case 1158,2011-06-23 10:00:20,Wait,Take in charge ticket --> Wait
Case 1158,2011-06-23 10:00:20,Wait,Case 1158,2011-07-21 13:33:50,Take in charge ticket,Wait --> Take in charge ticket
Case 1158,2011-07-21 13:33:50,Take in charge ticket,Case 1158,2011-07-21 13:33:58,Resolve ticket,Take in charge ticket --> Resolve ticket
Case 1158,2011-07-21 13:33:58,Resolve ticket,Case 1158,2011-08-05 13:34:19,Closed,Resolve ticket --> Closed
Case 1159,2013-11-20 11:53:42,Assign seriousness,Case 1159,2013-11-28 08:48:10,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 1159,2013-11-28 08:48:10,Take in charge ticket,Case 1159,2013-11-28 10:48:42,Wait,Take in charge ticket --> Wait
Case 1159,2013-11-28 10:48:42,Wait,Case 1159,2013-12-06 14:03:58,Resolve ticket,Wait --> Resolve ticket
Case 1159,2013-12-06 14:03:58,Resolve ticket,Case 1159,2013-12-21 14:04:11,Closed,Resolve ticket --> Closed
Case 116,2011-04-08 13:02:03,Assign seriousness,Case 116,2011-04-08 13:02:38,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 116,2011-04-08 13:02:38,Take in charge ticket,Case 116,2011-04-08 13:07:10,Resolve ticket,Take in charge ticket --> Resolve ticket
Case 116,2011-04-08 13:07:10,Resolve ticket,Case 116,2011-05-30 13:11:18,Closed,Resolve ticket --> Closed
Case 1160,2011-04-14 07:32:36,Assign seriousness,Case 1160,2011-04-14 07:58:44,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 1160,2011-04-14 07:58:44,Take in charge ticket,Case 1160,2011-04-14 15:03:02,Resolve ticket,Take in charge ticket --> Resolve ticket
Case 1160,2011-04-14 15:03:02,Resolve ticket,Case 1160,2011-05-28 07:40:40,Closed,Resolve ticket --> Closed
Case 1161,2012-07-18 09:00:13,Assign seriousness,Case 1161,2012-07-20 07:52:34,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 1161,2012-07-20 07:52:34,Take in charge ticket,Case 1161,2012-07-20 10:07:28,Resolve ticket,Take in charge ticket --> Resolve ticket
Case 1161,2012-07-20 10:07:28,Resolve ticket,Case 1161,2012-09-01 08:14:21,Closed,Resolve ticket --> Closed
Case 1162,2011-01-26 14:45:02,Assign seriousness,Case 1162,2011-01-27 08:40:54,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 1162,2011-01-27 08:40:54,Take in charge ticket,Case 1162,2011-01-31 13:34:41,Resolve ticket,Take in charge ticket --> Resolve ticket
Case 1162,2011-01-31 13:34:41,Resolve ticket,Case 1162,2011-03-13 14:50:35,Closed,Resolve ticket --> Closed
Case 1163,2012-07-24 07:38:39,Assign seriousness,Case 1163,2012-07-24 07:39:01,Resolve ticket,Assign seriousness --> Resolve ticket
Case 1163,2012-07-24 07:39:01,Resolve ticket,Case 1163,2012-09-06 07:40:23,Closed,Resolve ticket --> Closed
Case 1164,2013-03-01 16:50:10,Assign seriousness,Case 1164,2013-03-25 17:00:20,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 1164,2013-03-25 17:00:20,Take in charge ticket,Case 1164,2013-03-27 08:27:00,Resolve ticket,Take in charge ticket --> Resolve ticket
Case 1164,2013-03-27 08:27:00,Resolve ticket,Case 1164,2013-04-11 07:27:14,Closed,Resolve ticket --> Closed
Case 1165,2010-09-15 07:50:56,Assign seriousness,Case 1165,2010-09-15 07:51:39,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 1165,2010-09-15 07:51:39,Take in charge ticket,Case 1165,2010-09-15 07:52:02,Resolve ticket,Take in charge ticket --> Resolve ticket
Case 1165,2010-09-15 07:52:02,Resolve ticket,Case 1165,2010-10-29 08:00:22,Closed,Resolve ticket --> Closed
Case 1166,2010-10-25 13:16:01,Assign seriousness,Case 1166,2010-10-26 07:49:21,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 1166,2010-10-26 07:49:21,Take in charge ticket,Case 1166,2010-10-26 07:50:24,Resolve ticket,Take in charge ticket --> Resolve ticket
Case 1166,2010-10-26 07:50:24,Resolve ticket,Case 1166,2010-11-26 14:22:13,Closed,Resolve ticket --> Closed
Case 1167,2011-02-14 09:03:48,Assign seriousness,Case 1167,2011-02-14 09:04:20,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 1167,2011-02-14 09:04:20,Take in charge ticket,Case 1167,2011-02-15 16:14:19,Wait,Take in charge ticket --> Wait
Case 1167,2011-02-15 16:14:19,Wait,Case 1167,2011-03-14 09:31:02,Take in charge ticket,Wait --> Take in charge ticket
Case 1167,2011-03-14 09:31:02,Take in charge ticket,Case 1167,2011-03-14 09:31:18,Resolve ticket,Take in charge ticket --> Resolve ticket
Case 1167,2011-03-14 09:31:18,Resolve ticket,Case 1167,2011-04-12 10:32:07,Closed,Resolve ticket --> Closed
Case 1168,2011-06-17 15:59:46,Assign seriousness,Case 1168,2011-06-17 16:00:22,Wait,Assign seriousness --> Wait
Case 1168,2011-06-17 16:00:22,Wait,Case 1168,2011-07-06 16:08:34,Take in charge ticket,Wait --> Take in charge ticket
Case 1168,2011-07-06 16:08:34,Take in charge ticket,Case 1168,2011-07-19 07:57:22,Resolve ticket,Take in charge ticket --> Resolve ticket
Case 1168,2011-07-19 07:57:22,Resolve ticket,Case 1168,2011-07-19 07:57:23,Resolve ticket,Resolve ticket --> Resolve ticket
Case 1168,2011-07-19 07:57:23,Resolve ticket,Case 1168,2011-08-03 07:57:38,Closed,Resolve ticket --> Closed
Case 1169,2012-07-30 15:03:11,Assign seriousness,Case 1169,2012-07-31 13:37:16,Resolve ticket,Assign seriousness --> Resolve ticket
Case 1169,2012-07-31 13:37:16,Resolve ticket,Case 1169,2012-09-14 15:11:18,Closed,Resolve ticket --> Closed
Case 117,2012-07-19 10:59:25,Assign seriousness,Case 117,2012-07-20 08:49:34,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 117,2012-07-20 08:49:34,Take in charge ticket,Case 117,2012-07-20 14:44:15,Resolve ticket,Take in charge ticket --> Resolve ticket
Case 117,2012-07-20 14:44:15,Resolve ticket,Case 117,2012-09-06 11:00:48,Closed,Resolve ticket --> Closed
Case 1170,2011-01-31 09:12:34,Assign seriousness,Case 1170,2011-01-31 10:43:27,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 1170,2011-01-31 10:43:27,Take in charge ticket,Case 1170,2011-02-01 16:37:01,Resolve ticket,Take in charge ticket --> Resolve ticket
Case 1170,2011-02-01 16:37:01,Resolve ticket,Case 1170,2011-03-03 09:20:27,Closed,Resolve ticket --> Closed
Case 1171,2011-12-13 08:19:55,Assign seriousness,Case 1171,2011-12-13 11:13:25,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 1171,2011-12-13 11:13:25,Take in charge ticket,Case 1171,2011-12-13 11:22:43,Resolve ticket,Take in charge ticket --> Resolve ticket
Case 1171,2011-12-13 11:22:43,Resolve ticket,Case 1171,2012-01-28 08:21:08,Closed,Resolve ticket --> Closed
Case 1172,2012-03-19 10:50:29,Assign seriousness,Case 1172,2012-03-29 14:18:31,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 1172,2012-03-29 14:18:31,Take in charge ticket,Case 1172,2012-04-02 07:52:47,Wait,Take in charge ticket --> Wait
Case 1172,2012-04-02 07:52:47,Wait,Case 1172,2012-04-02 09:05:06,Resolve ticket,Wait --> Resolve ticket
Case 1172,2012-04-02 09:05:06,Resolve ticket,Case 1172,2012-04-19 12:10:39,Closed,Resolve ticket --> Closed
Case 1173,2010-06-22 14:33:44,Assign seriousness,Case 1173,2010-06-30 15:24:53,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 1173,2010-06-30 15:24:53,Take in charge ticket,Case 1173,2010-07-01 09:02:51,Wait,Take in charge ticket --> Wait
Case 1173,2010-07-01 09:02:51,Wait,Case 1173,2010-07-06 09:36:29,Take in charge ticket,Wait --> Take in charge ticket
Case 1173,2010-07-06 09:36:29,Take in charge ticket,Case 1173,2010-07-06 10:36:50,Create SW anomaly,Take in charge ticket --> Create SW anomaly
Case 1173,2010-07-06 10:36:50,Create SW anomaly,Case 1173,2010-07-12 08:37:51,Resolve ticket,Create SW anomaly --> Resolve ticket
Case 1173,2010-07-12 08:37:51,Resolve ticket,Case 1173,2010-07-14 14:02:02,Take in charge ticket,Resolve ticket --> Take in charge ticket
Case 1173,2010-07-14 14:02:02,Take in charge ticket,Case 1173,2010-07-15 10:19:02,Resolve ticket,Take in charge ticket --> Resolve ticket
Case 1173,2010-07-15 10:19:02,Resolve ticket,Case 1173,2010-07-30 10:19:31,Closed,Resolve ticket --> Closed
Case 1174,2011-05-18 08:34:39,Assign seriousness,Case 1174,2011-05-18 08:35:01,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 1174,2011-05-18 08:35:01,Take in charge ticket,Case 1174,2011-05-18 15:55:18,Resolve ticket,Take in charge ticket --> Resolve ticket
Case 1174,2011-05-18 15:55:18,Resolve ticket,Case 1174,2011-07-07 08:40:29,Closed,Resolve ticket --> Closed
Case 1175,2012-01-11 15:59:39,Assign seriousness,Case 1175,2012-01-16 09:46:04,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 1175,2012-01-16 09:46:04,Take in charge ticket,Case 1175,2012-01-16 11:20:57,Resolve ticket,Take in charge ticket --> Resolve ticket
Case 1175,2012-01-16 11:20:57,Resolve ticket,Case 1175,2012-01-16 11:21:55,Take in charge ticket,Resolve ticket --> Take in charge ticket
Case 1175,2012-01-16 11:21:55,Take in charge ticket,Case 1175,2012-01-16 11:45:15,Resolve ticket,Take in charge ticket --> Resolve ticket
Case 1175,2012-01-16 11:45:15,Resolve ticket,Case 1175,2012-02-26 16:00:27,Closed,Resolve ticket --> Closed
Case 1176,2012-11-29 08:35:40,Assign seriousness,Case 1176,2012-12-04 08:56:43,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 1176,2012-12-04 08:56:43,Take in charge ticket,Case 1176,2012-12-17 08:47:55,Wait,Take in charge ticket --> Wait
Case 1176,2012-12-17 08:47:55,Wait,Case 1176,2013-01-11 10:53:32,Resolve ticket,Wait --> Resolve ticket
Case 1176,2013-01-11 10:53:32,Resolve ticket,Case 1176,2013-01-26 10:53:51,Closed,Resolve ticket --> Closed
Case 1177,2011-12-12 10:23:38,Assign seriousness,Case 1177,2011-12-12 11:37:24,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 1177,2011-12-12 11:37:24,Take in charge ticket,Case 1177,2011-12-13 14:00:43,Resolve ticket,Take in charge ticket --> Resolve ticket
Case 1177,2011-12-13 14:00:43,Resolve ticket,Case 1177,2012-01-12 10:30:18,Closed,Resolve ticket --> Closed
Case 1178,2011-04-05 08:07:00,Assign seriousness,Case 1178,2011-04-05 08:07:14,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 1178,2011-04-05 08:07:14,Take in charge ticket,Case 1178,2011-04-05 08:09:39,Resolve ticket,Take in charge ticket --> Resolve ticket
Case 1178,2011-04-05 08:09:39,Resolve ticket,Case 1178,2011-05-08 08:10:44,Closed,Resolve ticket --> Closed
Case 1179,2012-10-10 10:42:01,Assign seriousness,Case 1179,2012-10-10 15:22:17,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 1179,2012-10-10 15:22:17,Take in charge ticket,Case 1179,2012-10-16 08:55:52,Wait,Take in charge ticket --> Wait
Case 1179,2012-10-16 08:55:52,Wait,Case 1179,2012-11-09 16:00:57,Resolve ticket,Wait --> Resolve ticket
Case 1179,2012-11-09 16:00:57,Resolve ticket,Case 1179,2012-11-24 16:01:14,Closed,Resolve ticket --> Closed
Case 118,2011-03-07 11:02:24,Assign seriousness,Case 118,2011-03-07 11:02:41,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 118,2011-03-07 11:02:41,Take in charge ticket,Case 118,2011-03-07 13:14:21,Resolve ticket,Take in charge ticket --> Resolve ticket
Case 118,2011-03-07 13:14:21,Resolve ticket,Case 118,2011-04-13 10:10:26,Closed,Resolve ticket --> Closed
Case 1180,2010-07-01 14:30:32,Assign seriousness,Case 1180,2010-08-09 09:34:20,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 1180,2010-08-09 09:34:20,Take in charge ticket,Case 1180,2010-08-09 09:34:30,Wait,Take in charge ticket --> Wait
Case 1180,2010-08-09 09:34:30,Wait,Case 1180,2010-08-10 16:06:20,Take in charge ticket,Wait --> Take in charge ticket
Case 1180,2010-08-10 16:06:20,Take in charge ticket,Case 1180,2010-08-10 16:07:04,Resolve ticket,Take in charge ticket --> Resolve ticket
Case 1180,2010-08-10 16:07:04,Resolve ticket,Case 1180,2010-08-25 16:07:18,Closed,Resolve ticket --> Closed
Case 1181,2012-02-13 09:15:33,Assign seriousness,Case 1181,2012-02-13 09:19:18,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 1181,2012-02-13 09:19:18,Take in charge ticket,Case 1181,2012-02-13 11:42:19,Resolve ticket,Take in charge ticket --> Resolve ticket
Case 1181,2012-02-13 11:42:19,Resolve ticket,Case 1181,2012-03-21 09:20:34,Closed,Resolve ticket --> Closed
Case 1182,2011-03-04 09:29:57,Assign seriousness,Case 1182,2011-03-04 09:30:34,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 1182,2011-03-04 09:30:34,Take in charge ticket,Case 1182,2011-03-18 08:21:06,Resolve ticket,Take in charge ticket --> Resolve ticket
Case 1182,2011-03-18 08:21:06,Resolve ticket,Case 1182,2011-04-06 08:32:32,Closed,Resolve ticket --> Closed
Case 1183,2010-07-08 15:35:41,Assign seriousness,Case 1183,2010-07-08 15:41:10,Take in charge ticket,Assign seriousness --> Take in charge ticket
Case 1183,2010-07-08 15:41:10,Take in charge ticket,Case 1183,2010-07-08 15:41:22,Wait,Take in charge ticket --> Wait
Case 1183,2010-07-08 15:41:22,Wait,Case 1183,2010-07-09 08:38:50,Take in charge ticket,Wait --> Take in charge ticket
