Case ID,Assign seriousness,Closed,Create SW anomaly,DUPLICATE,INVALID,Insert ticket,RESOLVED,Require upgrade,Resolve SW anomaly,Resolve ticket,Schedule intervention,Take in charge ticket,VERIFIED,Wait
Case 2205,2010-07-09 15:23:19,2010-08-11 15:30:35,,,,,,,,2010-07-14 15:58:35,,2010-07-14 15:56:37,,
Case 2206,2010-05-11 09:41:45,2010-06-15 09:44:52,,,,,,,,2010-06-04 07:47:09,,2010-06-04 07:47:05,,
Case 2207,2011-02-15 15:52:20,2011-04-01 15:16:44,,,,,,,,2011-03-02 16:16:13,,2011-02-15 15:52:41,,2011-02-21 15:34:00
Case 2208,2010-05-20 10:00:50,2010-06-29 15:27:32,,,,,,,,2010-06-14 15:27:19,,2010-05-20 10:26:34,,
Case 2209,2011-03-25 11:27:35,2011-05-03 09:00:28,,,,,,,,2011-04-15 08:00:08,,2011-03-25 11:27:54,,2011-04-01 09:29:02
Case 221,2011-11-23 10:46:01,2011-12-24 10:50:46,,,,,,,,2011-11-28 11:46:18,,2011-11-25 15:11:06,,
Case 2210,2013-11-05 14:54:50,2013-12-20 09:29:49,,,,,,,,2013-12-05 09:29:34,,2013-12-05 08:40:21,,
Case 2211,2013-07-08 13:36:12,2013-08-14 16:10:29,,,,,,,,2013-07-30 16:10:12,,2013-07-24 09:33:49,,2013-07-24 10:35:55
Case 2212,2011-08-02 08:18:36,2011-09-02 08:21:17,,,,,,,,2011-08-02 08:19:29,,,,
Case 2213,2011-03-01 16:48:41,2011-04-10 09:04:14,,,,,,,,2011-03-11 10:03:53,,2011-03-01 16:49:10,,2011-03-04 14:48:00
Case 2214,2012-07-20 10:11:44,2012-09-13 10:20:26,,,,,,,,2012-07-23 08:33:14,,2012-07-20 12:37:04,,
Case 2215,2013-04-05 13:31:07,2013-05-07 12:43:34,,,,,,,,2013-04-22 12:43:23,,2013-04-22 12:39:15,,
Case 2216,2011-11-25 15:20:40,2012-01-03 09:30:47,,,,,,,,2011-12-14 15:51:20,,2011-12-01 08:34:50,,2011-12-09 11:54:53
Case 2217,2011-04-19 12:31:55,2011-05-27 16:00:50,,,,,,,,2011-04-26 12:57:25,,2011-04-26 08:16:17,,2011-04-26 08:38:47
Case 2218,2011-04-18 10:50:49,2011-06-10 11:00:50,,,,,,,,2011-04-20 12:57:36,,2011-04-20 12:57:29,,
Case 2219,2013-06-11 07:07:46,2013-07-17 14:46:46,,,,,,,,2013-07-02 14:46:36,,2013-06-12 15:25:45,,2013-06-12 15:59:51
Case 222,2012-02-01 11:34:03,2012-03-09 11:40:26,,,,,,,,2012-02-01 11:35:16,,,,
Case 2220,2012-08-09 08:26:28,2012-09-15 08:30:29,,,,,,,,2012-08-09 15:56:01,,2012-08-09 13:35:02,,
Case 2221,2010-10-04 08:40:56,2010-11-20 17:04:55,,,,,,,,2010-10-07 13:26:15,,2010-10-07 06:58:10,,
Case 2222,2010-09-09 15:42:47,2010-10-23 15:50:56,,,,,,,,2010-09-17 08:17:15,,2010-09-17 07:35:31,,
Case 2223,2010-11-15 13:29:45,2010-12-29 13:30:30,,,,,,,,2010-11-25 10:12:17,,2010-11-25 09:35:13,,
Case 2224,2012-02-13 08:38:59,2012-03-17 08:40:33,,,,,,,,2012-02-13 14:10:02,,2012-02-13 08:39:33,,
Case 2225,2012-06-20 15:16:29,2012-08-03 15:20:24,,,,,,,,2012-06-20 16:00:19,,2012-06-20 15:40:18,,
Case 2226,2012-04-03 14:48:43,2012-05-04 14:50:26,,,,,,,,2012-04-05 10:48:18,,2012-04-04 14:04:21,,
Case 2227,2012-08-02 14:52:30,2012-09-12 15:59:15,,,,,,,,2012-08-13 12:39:08,,,,
Case 2228,2013-02-22 11:30:51,2013-03-27 11:32:11,,,,,,,,2013-03-12 11:31:53,,2013-03-12 08:02:08,,
Case 2229,2013-03-19 10:52:24,2013-05-18 07:56:12,,,,,,,,2013-05-03 07:55:55,,,,2013-03-19 10:53:25
Case 223,2012-03-15 13:28:02,2012-04-19 12:31:21,,,,,,,,2012-03-16 15:29:01,,2012-03-16 11:30:26,,
Case 2230,2011-11-28 14:08:58,2012-01-13 14:18:22,,,,,,,,2011-12-14 14:18:03,,2011-11-30 15:25:19,,
Case 2231,2011-05-27 15:21:12,2011-06-30 10:47:34,,,,,,,,2011-05-30 07:33:27,,2011-05-27 15:21:39,,
Case 2232,2012-12-19 08:26:18,2013-01-22 11:23:15,,,,,,,,2013-01-07 11:22:56,,,,
Case 2233,2010-10-29 07:21:13,2010-11-30 08:30:29,,,,,,,,2010-11-05 11:21:38,,2010-11-02 10:47:11,,
Case 2234,2011-12-30 08:56:55,2012-02-05 09:00:37,,,,,,,,2012-01-02 09:28:53,,2012-01-02 08:41:05,,
Case 2235,2010-10-22 07:27:19,2010-12-02 08:31:02,,,,,,,,2010-10-25 10:46:47,,2010-10-22 07:47:57,,
Case 2236,2013-08-12 13:04:44,2013-09-21 15:55:21,,,,,,,,2013-09-06 15:55:08,,2013-08-19 09:47:09,,2013-08-19 10:16:55
Case 2237,2012-07-30 08:25:51,2012-09-05 08:30:42,,,,,,,,2012-07-30 08:26:45,,,,
Case 2238,2011-07-29 13:04:45,2011-08-31 13:10:25,,,,,,,,2011-08-03 08:39:07,,,,
Case 2239,2013-01-11 08:44:28,2013-02-12 08:35:25,,,,,,,,2013-01-18 09:22:51,,2013-01-11 08:44:55,,2013-01-25 14:40:17
Case 224,2012-05-28 14:20:59,2012-06-28 08:06:32,,,,,,,,2012-05-29 08:06:03,,2012-05-28 14:21:21,,2012-05-28 14:41:06
Case 2240,2012-07-04 07:10:03,2012-08-11 07:21:44,,,,,,,,2012-07-04 07:37:43,,2012-07-04 07:10:20,,
Case 2241,2012-06-26 13:14:17,2012-07-31 14:50:44,,,,,,,,2012-07-10 15:38:20,,2012-06-26 13:14:26,,2012-06-28 14:03:07
Case 2242,2012-04-23 15:07:23,2012-06-08 15:12:23,,,,,,,,2012-04-27 14:29:08,,2012-04-23 15:34:43,,
Case 2243,2010-11-26 17:04:06,2011-01-09 10:04:51,,,,,,,,2010-12-10 10:04:28,,2010-12-03 08:24:16,,
Case 2244,2012-03-12 10:47:50,2012-05-04 07:23:43,,,,,,,,2012-04-19 07:23:32,,2012-04-05 14:44:07,,2012-04-05 15:16:21
Case 2245,2013-05-09 07:27:51,2013-06-18 08:10:08,,,,,,,,2013-06-03 08:09:55,,2013-05-09 07:44:43,,2013-05-09 07:52:26
Case 2246,2011-09-08 07:42:42,2011-10-11 07:50:22,,,,,,,,2011-09-09 12:28:45,,2011-09-08 07:44:47,,
Case 2247,2012-02-08 10:57:39,2012-03-14 11:00:34,,,,,,,,2012-02-08 13:15:32,,2012-02-08 10:58:09,,
Case 2248,2011-12-21 16:16:13,2012-01-21 16:20:22,,,,,,,,2011-12-28 09:24:38,,2011-12-27 09:04:07,,
Case 2249,2010-04-30 09:41:37,2010-06-01 15:30:26,,,,2010-04-29 15:26:12,,,,2010-04-30 11:26:43,,2010-04-30 10:29:06,,2010-04-30 16:42:57
Case 225,2011-07-21 13:48:19,2011-09-07 13:50:31,,,,,,,,2011-07-22 13:05:46,,,,
Case 2250,2012-07-27 13:18:51,2012-09-11 08:37:22,,,,,,,,2012-08-27 08:37:11,,,,2012-08-13 12:42:53
Case 2251,2011-09-30 10:02:42,2011-11-28 11:11:07,,,,,,,,2011-10-07 10:36:38,,2011-10-07 10:22:17,,
Case 2252,2012-01-23 10:59:21,2012-03-07 11:00:35,,,,,,,,2012-01-23 13:43:10,,2012-01-23 13:10:18,,
Case 2254,2010-09-22 14:53:46,2010-10-23 15:00:24,,,,,,,,2010-09-22 15:25:38,,2010-09-22 15:25:02,,
Case 2255,2012-01-26 16:27:22,2012-03-10 16:31:10,,,,,,,,2012-01-31 13:39:20,,2012-01-27 08:03:08,,
Case 2256,2012-08-08 08:14:19,2012-09-15 08:20:30,,,,,,,,2012-08-08 08:14:40,,,,
Case 2257,2011-11-11 14:59:28,2011-12-20 16:35:38,,,,,,,,2011-12-05 16:35:16,,2011-11-14 08:03:20,,
Case 2258,2012-06-14 16:01:33,2012-07-22 16:01:48,,,,,,,,2012-06-21 08:05:21,,2012-06-15 07:51:02,,
Case 2259,2012-07-25 14:47:47,2012-09-01 08:14:01,,,,2012-07-25 14:47:20,,,,2012-07-25 15:15:05,,2012-07-25 14:47:54,,
Case 226,2011-04-11 16:01:34,2011-05-12 16:00:30,,,,,,,,2011-04-13 10:20:49,,2011-04-11 16:01:52,,
Case 2260,2011-09-28 10:02:41,2011-11-13 11:10:57,,,,,,,,2011-09-28 14:09:56,,2011-09-28 12:40:32,,
Case 2261,2012-01-27 15:25:30,2012-03-15 15:30:32,,,,,,,,2012-01-27 15:35:33,,2012-01-27 15:25:46,,
Case 2262,2012-01-19 11:18:45,2012-02-25 11:20:32,,,,,,,,2012-01-19 11:30:10,,2012-01-19 11:19:00,,
Case 2263,2011-03-22 11:02:38,2011-05-05 10:11:59,,,,,,,,2011-03-22 16:44:31,,2011-03-22 11:06:10,,
Case 2264,2011-10-04 09:10:13,2011-11-04 10:20:20,,,,,,,,2011-10-06 07:59:21,,2011-10-06 07:57:33,,
Case 2265,2011-03-30 12:09:42,2011-05-03 11:07:49,,,,,,,,2011-04-18 11:07:29,,2011-04-08 15:38:33,,
Case 2266,2010-04-08 10:05:38,2010-05-11 10:10:22,,,,,,,,2010-04-08 14:28:00,,2010-04-08 14:27:56,,
Case 2267,2013-01-28 13:38:35,2013-03-13 13:56:29,,,,,,,,2013-02-26 13:56:14,,2013-02-06 17:09:02,,2013-02-13 10:53:30
Case 2268,2013-02-22 15:19:55,2013-03-27 08:27:41,,,,,,,,2013-03-12 08:27:31,,2013-02-25 11:39:28,,
Case 2269,2011-03-25 13:40:45,2011-04-28 10:04:19,,,,,,,,2011-04-13 10:04:03,,2011-03-25 13:43:04,,2011-03-31 09:37:26
Case 227,2011-05-17 09:14:34,2011-06-30 09:20:44,,,,,,,,2011-05-20 12:41:53,,2011-05-17 09:14:52,,
Case 2270,2011-10-10 13:39:46,2011-11-17 14:40:35,,,,,,,,2011-10-10 14:07:47,,,,
Case 2271,2010-08-26 07:37:12,2010-10-09 07:41:04,,,,,,,,2010-08-27 07:00:47,,2010-08-26 13:13:00,,2010-08-26 13:35:50
Case 2272,2010-05-28 12:56:25,2010-06-29 13:00:32,,,,,,,,2010-05-31 10:53:30,,2010-05-31 09:30:29,,
Case 2273,2012-05-10 14:58:37,2012-06-17 15:00:37,,,,,,,,2012-05-14 14:35:37,,2012-05-11 07:28:57,,
Case 2274,2010-12-17 10:29:53,2011-02-04 11:14:23,,,,,,,,2011-01-20 11:14:11,,2011-01-20 11:09:05,,
Case 2275,2011-03-14 13:15:57,2011-04-14 12:20:35,,,,,,,,2011-03-14 13:41:28,,2011-03-14 13:16:30,,
Case 2276,2012-06-13 12:15:11,2012-08-04 12:20:57,,,,,,,,2012-06-13 12:16:22,,,,
Case 2277,2012-02-13 09:45:02,2012-03-21 09:50:35,,,,,,,,2012-02-13 10:23:54,,2012-02-13 09:45:33,,
Case 2278,2011-09-27 13:05:25,2011-10-28 13:10:38,,,,,,,,2011-09-28 15:28:18,,,,
Case 2279,2012-10-09 15:57:50,2012-11-09 12:54:29,,,,,,,,2012-10-25 11:54:05,,2012-10-09 15:58:55,,2012-10-12 15:00:00
Case 228,2010-09-22 15:39:16,2010-11-05 16:40:43,,,,,,,,2010-09-23 08:38:14,,2010-09-23 08:37:42,,
Case 2280,2010-10-01 08:44:58,2010-11-19 09:50:33,,,,,,,,2010-10-01 12:48:50,,2010-10-01 09:01:34,,
Case 2281,2011-06-16 09:08:59,2011-07-20 10:10:59,,,,,,,,2011-06-29 10:27:32,,2011-06-21 15:47:13,,2011-06-28 09:25:57
Case 2282,2010-03-17 08:21:44,2010-05-08 07:36:49,,,,,,,,2010-04-23 07:36:36,,2010-03-17 08:21:53,,
Case 2283,2010-10-26 15:48:07,2010-11-27 16:50:32,,,,,,,,2010-10-27 10:02:08,,2010-10-27 09:58:58,,
Case 2284,2011-04-14 15:37:05,2011-05-17 15:40:31,,,,,,,,2011-04-15 10:48:10,,2011-04-15 10:43:34,,
Case 2285,2013-05-02 14:46:14,2013-06-20 10:18:22,,,,,,,,2013-06-05 10:18:06,,2013-05-16 12:14:51,,2013-05-02 14:50:18
Case 2286,2012-01-18 08:08:50,2012-03-02 08:12:49,,,,,,,,2012-01-18 15:29:09,,2012-01-18 13:32:50,,
Case 2287,2011-05-16 13:00:46,2011-06-22 08:24:47,,,,,,,,2011-05-23 08:24:29,,2011-05-16 13:01:03,,2011-05-17 07:45:25
Case 2288,2010-05-17 08:17:52,2010-06-18 14:54:10,,,,,,,,2010-06-03 14:53:55,,2010-05-31 08:30:15,,
Case 2289,2010-12-20 08:34:57,2011-02-04 10:46:48,,,,,,,,2011-01-20 10:46:32,,2010-12-27 17:00:14,,
Case 229,2011-11-23 09:44:28,2012-01-15 09:50:48,,,,,,,,2011-11-23 11:21:30,,,,
Case 2290,2012-10-08 08:38:32,2012-11-23 16:30:43,,,,,,,,2012-11-08 16:30:29,,2012-10-08 10:52:03,,2012-10-23 07:48:06
Case 2291,2011-01-12 16:35:03,2011-02-12 16:40:33,,,,,,,,2011-01-14 11:27:11,,2011-01-14 11:26:55,,
Case 2292,2010-03-25 14:46:37,2010-05-20 17:05:46,,,,,,,,2010-05-05 17:05:34,,2010-03-25 14:51:41,,2010-03-25 15:00:49
Case 2293,2012-06-12 14:16:44,2012-07-13 14:20:45,,,,,,,,2012-06-12 15:17:43,,2012-06-12 14:58:59,,
Case 2294,2011-06-29 12:30:31,2011-08-06 08:50:30,,,,,,,,2011-07-21 07:06:02,,2011-07-04 15:01:57,,2011-07-14 09:53:46
Case 2295,2011-02-22 09:20:32,2011-04-10 09:35:43,,,,,,,,2011-03-11 10:35:24,,2011-02-22 09:20:43,,2011-02-22 09:40:16
Case 2296,2012-08-07 09:48:10,2012-09-12 09:50:25,,,,,,,,2012-08-07 10:06:48,,2012-08-07 09:48:17,,
Case 2297,2010-03-10 08:31:20,2010-04-23 07:30:26,,,,2010-03-10 08:29:54,,,,2010-03-23 15:36:12,,2010-03-10 08:31:29,,
Case 2298,2010-07-15 07:26:13,2010-08-28 07:30:33,,,,,,,,2010-07-19 14:22:55,,2010-07-19 14:22:20,,
Case 2299,2010-07-08 10:47:06,2010-08-20 12:41:07,,,,,,,,2010-08-05 12:40:44,,2010-08-05 07:52:19,,
Case 23,2012-12-19 16:33:23,2013-02-06 15:51:06,,,,,,,,2013-01-22 15:50:53,,2013-01-03 08:26:14,,
Case 230,2013-09-05 12:44:56,2013-10-12 13:20:59,,,,,,,,2013-09-27 13:20:43,,2013-09-05 12:48:44,,2013-09-09 15:56:08
Case 2301,2010-05-11 13:28:20,2010-06-29 10:46:52,,,,,,,,2010-05-12 10:30:50,,2010-05-12 10:07:55,,
Case 2302,2013-07-01 12:36:56,2013-08-17 13:18:17,,,,,,,,2013-08-02 13:18:03,,2013-07-02 08:52:36,,2013-07-15 12:52:54
Case 2303,2012-02-01 11:36:49,2012-03-10 11:40:29,,,,,,,,2012-02-08 17:02:55,,2012-02-08 14:22:58,,
Case 2304,2011-11-15 14:16:32,2012-01-03 08:23:09,,,,,,,,2011-12-19 08:22:52,,2011-11-16 16:08:35,,2011-11-17 14:49:05
Case 2305,2011-03-31 14:11:12,2011-05-03 14:20:21,,,,,,,,2011-03-31 15:50:54,,2011-03-31 14:11:23,,
Case 2306,2011-10-13 14:10:50,2011-11-25 10:20:31,,,,,,,,2011-11-07 14:11:23,,2011-10-14 12:43:24,,2011-10-19 08:21:57
Case 2307,2010-08-03 06:59:33,2010-09-15 16:01:46,,,,,,,,2010-08-10 13:36:24,,2010-08-10 13:36:01,,
Case 2308,2013-05-31 13:01:15,2013-07-20 15:51:01,,,,,,,,2013-07-05 15:50:48,,2013-05-31 13:01:33,,2013-06-21 08:50:17
Case 2309,2010-07-14 12:59:42,2010-08-14 13:00:19,,,,,,,,2010-07-20 15:49:34,,2010-07-20 14:17:15,,
Case 231,2010-10-19 14:08:14,2010-12-03 15:10:20,,,,,,,,2010-10-21 08:26:29,,2010-10-20 16:04:16,,
Case 2310,2010-11-18 16:26:02,2011-01-05 08:21:20,,,,,,,,2010-12-21 08:21:08,,2010-12-07 10:59:17,,2010-12-10 10:36:54
Case 2311,2011-02-16 13:36:14,2011-04-08 10:48:30,,,,,,,,2011-02-22 11:47:55,,2011-02-16 13:36:37,,2011-02-21 16:12:12
Case 2312,2011-03-23 15:46:29,2011-04-23 14:50:51,,,,,,,,2011-03-29 10:09:33,,2011-03-23 15:51:12,,
Case 2313,2012-06-12 14:09:03,2012-08-10 14:10:51,,,,,,,,2012-06-14 12:49:44,,2012-06-14 12:49:19,,
Case 2314,2011-01-03 16:04:29,2011-02-09 16:10:20,,,,,,,,2011-01-04 10:46:28,,2011-01-04 10:45:30,,
Case 2315,2013-04-03 10:29:42,2013-05-04 12:40:32,,,,,,,,2013-04-19 12:40:15,,2013-04-19 07:17:20,,
Case 2316,2011-07-05 09:10:36,2011-08-05 09:20:37,,,,,,,,2011-07-06 10:55:57,,2011-07-06 10:55:31,,
Case 2317,2012-02-22 09:16:18,2012-03-24 09:20:42,,,,,,,,2012-02-27 10:58:50,,2012-02-23 15:08:03,,
Case 2318,2012-06-18 12:37:57,2012-07-19 12:50:13,,,,,,,,2012-07-03 14:03:04,,2012-06-20 07:10:58,,2012-06-25 12:56:24
Case 2319,2010-10-01 13:48:25,2010-11-11 14:17:55,,,,,,,,2010-10-27 13:17:41,,2010-10-01 13:48:47,,2010-10-01 13:49:19
Case 232,2013-09-10 08:11:26,2013-10-11 08:48:48,,,,,,,,2013-09-26 08:48:37,,2013-09-10 08:15:40,,2013-09-11 10:47:46
Case 2320,2010-05-13 08:52:29,2010-06-16 09:00:30,,,,,,,,2010-05-13 09:09:42,,2010-05-13 08:52:41,,
Case 2321,2010-03-11 14:37:20,2010-04-13 13:40:20,,,,,,,,2010-03-15 09:05:02,,2010-03-11 15:48:46,,
Case 2322,2013-04-19 10:06:26,2013-05-22 09:36:58,,,,,,,,2013-05-07 09:36:48,,2013-05-03 15:18:14,,
Case 2323,2012-02-06 16:00:58,2012-03-08 16:10:24,,,,,,,,2012-02-06 16:42:18,,2012-02-06 16:01:09,,
Case 2324,2011-09-19 07:11:11,2011-10-22 09:48:44,,,,,,,,2011-10-07 09:48:29,,2011-09-28 10:05:33,,
Case 2325,2010-04-26 10:23:11,2010-05-27 10:31:12,,,,,,,,2010-04-26 10:32:28,,2010-04-26 10:32:15,,
Case 2326,2012-03-28 15:37:11,2012-05-08 12:30:23,,,,,,,,2012-04-19 07:46:35,,2012-03-28 15:40:35,,2012-04-03 10:54:57
Case 2327,2011-10-04 12:30:28,2011-11-26 09:30:17,,,,,,,,2011-10-12 08:29:47,,2011-10-04 15:57:06,,
Case 2328,2012-11-14 11:05:11,2012-12-28 13:46:51,,,,,,,,2012-12-13 13:46:35,,2012-11-16 13:49:12,,
Case 2329,2010-04-27 12:55:56,2010-05-28 13:00:27,,,,,,,,2010-05-13 12:39:43,,2010-05-13 12:37:21,,
Case 233,2012-10-19 09:25:05,2012-12-06 10:06:50,,,,,,,,2012-11-21 10:06:35,,2012-11-05 11:27:44,,2012-11-05 14:08:15
Case 2330,2013-01-30 17:02:08,2013-03-02 09:24:35,,,,,,,,2013-02-15 09:24:21,,2013-02-15 08:14:35,,
Case 2331,2011-01-10 13:32:55,2011-02-17 14:31:31,,,,,,,,2011-01-11 08:14:17,,2011-01-10 15:15:46,,2011-01-10 16:26:55
Case 2332,2011-04-06 15:38:51,2011-06-04 15:40:41,,,,,,,,2011-04-15 07:55:46,,2011-04-06 15:39:03,,
Case 2333,2011-06-14 07:10:03,2011-07-15 07:20:30,,,,,,,,2011-06-17 12:33:02,,2011-06-14 07:10:16,,
Case 2334,2011-09-12 08:31:36,2011-10-21 08:16:16,,,,,,,,2011-10-06 08:15:56,,2011-09-26 13:14:23,,
Case 2335,2013-05-08 11:02:40,2013-06-08 08:38:14,,,,,,,,2013-05-24 08:37:52,,2013-05-24 07:33:44,,2013-05-24 07:46:57
Case 2336,2010-09-13 16:04:48,2010-10-21 08:02:38,2010-09-27 09:59:47,,,,,,,2010-10-06 08:01:47,,2010-09-21 15:04:13,,
Case 2337,2011-01-17 11:16:15,2011-02-19 11:49:06,,,,,,,,2011-02-04 11:48:48,,2011-01-27 08:35:33,,2011-01-27 14:29:14
Case 2338,2010-06-29 15:45:01,2010-08-17 08:49:14,,,,,,,,2010-07-08 15:22:00,,2010-07-08 15:19:15,,2010-07-29 12:50:18
Case 2339,2010-07-30 10:34:39,2010-09-16 10:57:25,,,,,,,,2010-09-01 10:57:10,,2010-09-01 08:00:29,,
Case 234,2010-06-23 15:57:59,2010-08-06 10:10:45,,,,,,,,2010-07-07 10:10:30,,2010-07-07 10:10:15,,
Case 2340,2010-05-17 09:05:53,2010-06-23 09:10:35,,,,,,,,2010-05-17 15:09:47,,2010-05-17 11:14:18,,
Case 2341,2011-06-07 14:56:36,2011-07-22 09:19:13,,,,,,,,2011-07-07 09:19:00,,2011-06-07 14:57:07,,2011-06-09 12:56:08
Case 2342,2012-07-30 12:51:36,2012-09-11 08:27:02,,,,,,,,2012-08-27 08:26:50,,2012-08-13 15:58:03,,2012-08-14 12:08:45
Case 2343,2011-08-01 07:58:51,2011-09-01 08:00:35,,,,,,,,2011-08-01 08:07:08,,2011-08-01 07:59:07,,
Case 2344,2012-03-05 10:08:35,2012-04-05 09:10:22,,,,,,,,2012-03-05 15:33:16,,2012-03-05 13:31:38,,
Case 2345,2011-07-27 15:46:01,2011-09-02 08:44:31,,,,,,,,2011-08-18 08:44:10,,2011-08-12 15:53:41,,2011-08-16 07:48:46
Case 2346,2013-09-18 06:47:24,2013-10-25 08:42:22,,,,2013-09-17 09:01:24,,,,2013-10-10 08:42:01,,2013-09-19 09:59:26,,2013-10-02 08:57:23
Case 2347,2012-07-26 12:10:25,2012-09-08 12:20:34,,,,,,,,2012-07-26 12:36:50,,,,
Case 2348,2013-03-25 13:51:21,2013-04-26 09:04:10,,,,,,,,2013-04-11 09:03:49,,2013-03-29 13:54:35,,2013-03-29 16:28:33
Case 2349,2010-07-02 10:21:00,2010-08-11 16:19:36,,,,,,,,2010-07-26 12:41:00,,2010-07-26 12:40:46,,
Case 235,2013-05-02 13:00:57,2013-06-25 13:10:20,,,,2013-05-02 12:59:40,,,,2013-06-10 13:10:05,,2013-05-02 13:01:18,,2013-05-02 13:34:45
Case 2350,2012-02-03 08:24:42,2012-03-07 08:30:21,,,,,,,,2012-02-07 15:28:54,,2012-02-07 15:22:09,,
Case 2351,2011-07-25 13:48:43,2011-09-01 13:50:52,,,,,,,,2011-07-25 15:44:40,,,,
Case 2352,2011-04-04 16:02:15,2011-05-18 16:00:42,,,,,,,,2011-04-18 10:59:38,,2011-04-08 15:45:12,,
Case 2353,2011-10-25 07:55:45,2011-11-27 09:00:52,,,,,,,,2011-10-25 08:58:01,,2011-10-25 07:56:33,,
Case 2354,2011-02-01 15:57:39,2011-03-08 14:56:12,,,,,,,,2011-02-21 14:55:59,,2011-02-15 16:53:12,,
Case 2355,2011-01-21 11:48:01,2011-03-03 10:30:53,,,,,,,,2011-02-16 10:30:36,,2011-01-26 08:30:24,,
Case 2356,2013-09-18 13:36:29,2013-11-13 10:22:33,,,,,,,,2013-10-29 10:22:19,,2013-09-19 07:49:48,,2013-09-20 07:53:21
Case 2357,2012-03-14 15:47:10,2012-04-27 14:50:21,,,,,,,,2012-03-14 16:36:06,,,,
Case 2358,2012-02-24 13:54:58,2012-03-28 13:00:21,,,,,,,,2012-03-09 14:49:40,,2012-03-09 11:56:52,,
Case 2359,2010-09-07 08:41:57,2010-10-08 08:50:39,,,,,,,,2010-09-07 12:52:29,,2010-09-07 08:43:53,,
Case 236,2011-01-19 10:08:18,2011-02-22 10:48:21,,,,,,,,2011-02-07 10:48:08,,2011-02-04 16:33:09,,
Case 2360,2011-06-27 14:49:46,2011-07-29 10:17:19,,,,,,,,2011-07-14 10:17:03,,2011-07-01 09:22:31,,
Case 2361,2011-03-08 13:02:09,2011-04-09 08:53:56,,,,,,,,2011-03-10 09:53:24,,2011-03-08 13:02:58,,2011-03-08 13:38:18
Case 2363,2011-11-18 13:23:27,2012-01-05 13:30:53,,,,,,,,2011-11-18 13:55:04,,2011-11-18 13:39:54,,
Case 2364,2011-06-15 07:38:09,2011-07-16 07:40:59,,,,,,,,2011-06-15 13:30:15,,2011-06-15 07:38:38,,
Case 2365,2012-02-27 08:20:34,2012-04-05 07:30:27,,,,,,,,2012-02-29 11:15:00,,2012-02-27 08:20:52,,
Case 2366,2012-05-28 12:28:05,2012-07-05 08:34:03,,,,,,,,2012-06-20 08:33:55,,2012-05-29 07:03:19,,2012-06-12 08:32:52
Case 2367,2012-08-08 14:34:59,2012-10-02 07:36:13,,,,,,,,2012-09-17 07:35:57,,2012-08-31 09:02:30,,
Case 2368,2013-10-07 13:26:49,2013-11-08 15:58:59,,,,,,2013-10-17 08:23:25,,2013-10-07 14:23:22,,2013-10-07 13:28:50,,2013-10-18 08:51:03
Case 2369,2010-02-25 15:07:33,2010-04-14 14:10:36,,,,,,,,2010-03-12 09:50:25,,2010-02-26 15:25:37,,
Case 237,2013-08-12 13:14:38,2013-09-14 08:10:40,,,,,,2013-08-28 13:00:20,,2013-08-30 08:10:30,,2013-08-26 10:33:33,,
Case 2370,2010-07-01 13:44:31,2010-08-25 12:35:47,,,,,,,,2010-07-26 12:35:29,,2010-07-26 12:34:58,,
Case 2371,2011-11-10 09:08:51,2011-12-13 09:10:28,,,,,,,,2011-11-10 10:28:34,,2011-11-10 09:09:07,,
Case 2372,2011-11-29 09:07:41,2011-12-30 09:10:18,,,,,,,,2011-11-30 11:44:13,,2011-11-29 09:16:39,,
Case 2373,2011-02-14 11:31:16,2011-03-17 11:40:21,,,,,,,,2011-02-15 16:41:26,,2011-02-14 11:37:05,,2011-02-14 13:48:17
Case 2374,2012-07-30 13:28:52,2012-09-06 13:30:28,,,,,,,,2012-07-30 15:00:24,,2012-07-30 15:00:06,,
Case 2375,2013-10-02 11:04:01,2013-11-05 17:44:34,,,,,,,,2013-10-21 16:44:19,,2013-10-21 16:10:27,,
Case 2376,2011-05-06 09:31:55,2011-06-30 10:46:59,,,,,,,,2011-05-20 07:09:17,,2011-05-17 15:35:34,,
Case 2377,2010-03-19 14:44:32,2010-04-24 13:44:21,,,,,,,,2010-04-09 13:44:01,,2010-04-09 13:43:57,,
Case 2378,2011-10-14 07:55:38,2011-11-17 08:26:03,,,,,,,,2011-11-02 08:25:55,,2011-10-20 13:45:44,,
Case 2379,2011-04-14 09:22:00,2011-05-30 12:58:11,,,,,,,,2011-04-15 12:57:42,,2011-04-14 09:22:25,,2011-04-15 08:26:25
Case 238,2010-07-23 14:27:40,2010-09-05 14:30:28,,,,,,,,2010-07-27 07:37:32,,2010-07-27 07:36:36,,
Case 2380,2012-09-18 15:18:05,2012-10-24 09:32:38,,,,,,,,2012-10-09 09:32:21,,2012-09-19 10:00:15,,2012-10-04 13:48:13
Case 2381,2013-05-03 09:48:23,2013-06-05 06:56:29,,,,,,,,2013-05-21 06:56:12,,,,
Case 2382,2012-02-09 16:39:09,2012-03-21 10:38:54,2012-02-14 12:01:09,,,,,,,2012-03-06 10:38:40,,2012-02-09 16:39:28,,
Case 2383,2010-02-19 10:58:32,2010-03-27 09:14:59,,,,,,,,2010-03-12 09:14:41,,2010-03-11 14:30:33,,
Case 2384,2011-02-21 16:15:51,2011-04-02 14:15:27,,,,,,,,2011-02-23 12:02:02,,2011-02-21 16:44:18,,2011-02-25 13:47:21
